TVL_ADJ;Tuvaluan;Tuvaluan;Tuvaluan;;;;;;;;;;;x;
TVL;Tuvalu;Tuvalu;Tuvalu;;;;;;;;;;;x;
TVL_proletarian_dictatorship;Tuvalu;Tuvalu;Tuvalu;;;;;;;;;;;x;
TVL_presidential_dictatorship;Tuvalu;Tuvalu;Tuvalu;;;;;;;;;;;x;
TVL_bourgeois_dictatorship;Tuvalu;Tuvalu;Tuvalu;;;;;;;;;;;x;
TVL_fascist_dictatorship;Tuvalu;Tuvalu;Tuvalu;;;;;;;;;;;x;
TVL_absolute_monarchy;Tuvalu;Tuvalu;Tuvalu;;;;;;;;;;;x;
TVL_prussian_constitutionalism;Tuvalu;Tuvalu;Tuvalu;;;;;;;;;;;x;
TVL_hms_government;Tuvalu;Tuvalu;Tuvalu;;;;;;;;;;;x;
TVL_democracy;Tuvalu;Tuvalu;Tuvalu;;;;;;;;;;;x;
TVL_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
TVL_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
TVL_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
TVL_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
TVL_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
TVL_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
TVL_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
TVL_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
TVL_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
