PAU_ADJ;Palauan;Palauan;Palauan;;;;;;;;;;;x;
PAU;Palau;Palau;Palau;;;;;;;;;;;x;
PAU_proletarian_dictatorship;Palau;Palau;Palau;;;;;;;;;;;x;
PAU_presidential_dictatorship;Palau;Palau;Palau;;;;;;;;;;;x;
PAU_bourgeois_dictatorship;Palau;Palau;Palau;;;;;;;;;;;x;
PAU_fascist_dictatorship;Palau;Palau;Palau;;;;;;;;;;;x;
PAU_absolute_monarchy;Palau;Palau;Palau;;;;;;;;;;;x;
PAU_prussian_constitutionalism;Palau;Palau;Palau;;;;;;;;;;;x;
PAU_hms_government;Palau;Palau;Palau;;;;;;;;;;;x;
PAU_democracy;Palau;Palau;Palau;;;;;;;;;;;x;
PAU_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
PAU_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
PAU_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
PAU_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
PAU_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
PAU_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
PAU_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
PAU_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
PAU_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
